Days,Gender,Status ,Rider Age,Fare,Ride_Duration
WEEKDAY,Female,Delay,34,15,48
WEEKDAY,Female,On-time,29,12,48
WEEKEND,Female,On-time,46,21,20
WEEKEND,Male,On-time,43,18,48
WEEKDAY,Male,On-time,80,27,20
WEEKDAY,Male,On-time,31,24,20
WEEKDAY,Male,On-time,73,30,16
WEEKDAY,Male,On-time,68,3,16
WEEKDAY,Male,On-time,22,9,16
WEEKEND,Male,On-time,20,6,16
WEEKEND,Female,On-time,28,15,16
WEEKDAY,Female,On-time,26,12,16
WEEKDAY,Female,On-time,29,21,16
WEEKDAY,Female,On-time,30,18,30
WEEKDAY,Female,On-time,37,27,30
WEEKDAY,Female,On-time,29,24,30
WEEKEND,Female,On-time,48,30,30
WEEKEND,Female,On-time,25,3,30
WEEKDAY,Female,On-time,27,9,18
WEEKDAY,Female,On-time,28,6,30
WEEKDAY,Male,On-time,24,12,30
WEEKDAY,Male,On-time,34,21,10
WEEKDAY,Male,On-time,32,18,30
WEEKEND,Male,On-time,30,27,35
WEEKEND,Female,On-time,71,24,35
WEEKDAY,Female,On-time,39,30,35
WEEKDAY,Female,On-time,44,3,35
WEEKDAY,Female,On-time,46,9,35
WEEKDAY,Female,On-time,28,6,20
WEEKDAY,Female,On-time,33,15,35
WEEKEND,Female,On-time,78,12,35
WEEKEND,Female,On-time,28,21,35
WEEKDAY,Female,On-time,53,18,60
WEEKDAY,Male,On-time,39,27,35
WEEKDAY,Male,On-time,48,24,35
WEEKDAY,Male,On-time,28,30,35
WEEKDAY,Male,On-time,37,3,35
WEEKEND,Male,On-time,48,9,35
WEEKEND,Male,On-time,38,6,48
WEEKDAY,Male,On-time,34,15,48
WEEKDAY,Female,On-time,26,12,48
WEEKDAY,Female,On-time,25,21,48
WEEKDAY,Female,On-time,32,18,20
WEEKDAY,Male,On-time,68,27,48
WEEKEND,Male,On-time,22,24,20
WEEKEND,Male,On-time,20,30,20
WEEKDAY,Male,On-time,28,3,16
WEEKDAY,Female,On-time,26,9,16
WEEKDAY,Female,On-time,29,6,16
WEEKDAY,Female,On-time,30,15,16
WEEKDAY,Female,On-time,37,21,16
WEEKEND,Female,On-time,29,18,16
WEEKEND,Female,On-time,37,27,30
WEEKDAY,Female,On-time,73,24,30
WEEKDAY,Female,On-time,48,30,30
WEEKDAY,Female,On-time,25,3,30
WEEKDAY,Female,On-time,27,9,30
WEEKDAY,Male,On-time,28,6,18
WEEKEND,Male,On-time,24,15,30
WEEKEND,Male,On-time,34,12,30
WEEKDAY,Male,On-time,32,21,30
WEEKDAY,Male,On-time,30,18,10
WEEKDAY,Female,On-time,71,27,30
WEEKDAY,Female,On-time,35,24,35
WEEKDAY,Female,On-time,44,30,35
WEEKEND,Female,On-time,55,3,35
WEEKEND,Female,On-time,38,9,35
WEEKDAY,Male,On-time,69,6,35
WEEKDAY,Male,On-time,37,15,20
WEEKDAY,Male,On-time,48,12,35
WEEKDAY,Female,On-time,26,21,35
WEEKDAY,Female,On-time,48,18,35
WEEKEND,Female,On-time,28,27,60
WEEKEND,Female,On-time,37,24,35
WEEKDAY,Female,On-time,48,30,35
WEEKDAY,Female,On-time,38,3,35
WEEKDAY,Male,On-time,34,9,35
WEEKDAY,Female,On-time,26,6,35
WEEKDAY,Female,On-time,25,15,48
WEEKEND,Female,On-time,32,12,48
WEEKEND,Male,On-time,35,18,48
WEEKDAY,Male,On-time,25,27,20
WEEKDAY,Male,On-time,23,24,48
WEEKDAY,Female,On-time,27,30,20
WEEKDAY,Female,On-time,29,3,20
WEEKDAY,Female,On-time,46,9,16
WEEKEND,Female,On-time,43,6,16
WEEKEND,Female,On-time,80,15,16
WEEKDAY,Female,On-time,31,12,16
WEEKDAY,Female,On-time,73,21,16
WEEKDAY,Female,On-time,68,18,16
WEEKDAY,Female,On-time,22,27,16
WEEKDAY,Female,On-time,20,24,30
WEEKEND,Female,On-time,28,30,30
WEEKEND,Male,On-time,26,3,30
WEEKDAY,Male,On-time,29,9,30
WEEKDAY,Female,On-time,30,6,30
WEEKDAY,Female,On-time,37,15,18
WEEKDAY,Female,On-time,29,12,30
WEEKDAY,Female,On-time,25,21,30
WEEKEND,Female,On-time,27,18,30
WEEKEND,Female,On-time,28,27,10
WEEKDAY,Female,On-time,24,24,30
WEEKDAY,Male,On-time,34,30,35
WEEKDAY,Male,On-time,32,3,35
WEEKDAY,Male,On-time,30,9,35
WEEKDAY,Male,On-time,71,6,35
WEEKEND,Male,On-time,29,15,35
WEEKEND,Male,On-time,78,12,20
WEEKDAY,Male,On-time,28,21,35
WEEKDAY,Female,On-time,53,18,35
WEEKDAY,Female,On-time,39,27,35
WEEKDAY,Female,On-time,48,24,60
WEEKDAY,Female,On-time,28,30,35
WEEKEND,Male,On-time,37,3,35
WEEKEND,Male,On-time,48,9,35
WEEKDAY,Male,On-time,38,6,35
WEEKDAY,Male,On-time,34,15,35
WEEKDAY,Female,On-time,26,12,48
WEEKDAY,Female,On-time,25,21,48
WEEKDAY,Female,On-time,32,18,48
WEEKEND,Female,On-time,38,27,48
WEEKEND,Female,On-time,34,24,20
WEEKDAY,Female,On-time,26,30,48
WEEKDAY,Female,On-time,25,3,20
WEEKDAY,Female,On-time,32,9,20
WEEKDAY,Female,On-time,33,6,16
WEEKDAY,Female,On-time,29,15,16
WEEKEND,Female,On-time,46,12,16
WEEKEND,Male,On-time,43,21,16
WEEKDAY,Male,On-time,80,18,16
WEEKDAY,Male,On-time,31,27,16
WEEKDAY,Male,On-time,73,24,16
WEEKDAY,Male,On-time,68,30,30
WEEKDAY,Male,On-time,22,3,30
WEEKEND,Male,On-time,20,9,30
WEEKEND,Female,On-time,28,6,30
WEEKDAY,Female,On-time,26,15,30
WEEKDAY,Female,On-time,29,12,18
WEEKDAY,Female,On-time,30,21,30
WEEKDAY,Female,On-time,37,18,30
WEEKDAY,Female,On-time,29,27,30
WEEKEND,Female,On-time,48,30,30
WEEKEND,Female,On-time,25,3,35
WEEKDAY,Female,On-time,27,9,35
WEEKDAY,Male,On-time,28,6,35
WEEKDAY,Male,On-time,24,15,35
WEEKDAY,Male,On-time,34,12,35
WEEKDAY,Male,On-time,32,21,20
WEEKEND,Male,On-time,30,18,35
WEEKEND,Male,On-time,71,27,35
WEEKDAY,Male,On-time,37,24,35
WEEKDAY,Male,On-time,34,30,60
WEEKDAY,Male,On-time,35,3,35
WEEKDAY,Female,On-time,25,9,35
WEEKDAY,Female,On-time,23,6,35
WEEKEND,Female,On-time,27,15,35
WEEKEND,Female,On-time,29,12,35
WEEKDAY,Female,On-time,48,21,48
WEEKDAY,Female,On-time,26,18,48
WEEKDAY,Female,On-time,37,27,48
WEEKDAY,Male,On-time,48,24,48
WEEKDAY,Male,On-time,38,30,20
WEEKEND,Male,On-time,34,3,48
WEEKEND,Male,On-time,26,9,20
WEEKDAY,Male,On-time,25,6,20
WEEKDAY,Female,On-time,32,15,16
WEEKDAY,Female,On-time,44,12,16
WEEKDAY,Female,On-time,46,21,16
WEEKDAY,Female,On-time,28,18,16
WEEKEND,Female,On-time,33,27,16
WEEKEND,Female,On-time,37,24,16
WEEKDAY,Female,On-time,34,30,16
WEEKDAY,Female,On-time,35,3,30
WEEKDAY,Female,On-time,25,9,30
WEEKDAY,Female,On-time,23,6,30
WEEKDAY,Female,On-time,27,15,30
WEEKEND,Male,On-time,29,12,30
WEEKEND,Male,On-time,48,21,18
WEEKDAY,Female,On-time,26,18,30
WEEKDAY,Female,On-time,48,27,30
WEEKDAY,Female,On-time,38,24,30
WEEKDAY,Female,On-time,34,3,30
WEEKDAY,Female,On-time,26,9,35
WEEKEND,Female,On-time,25,6,35
WEEKEND,Female,On-time,32,15,35
WEEKDAY,Female,On-time,28,12,35
WEEKDAY,Female,On-time,24,21,35
WEEKDAY,Female,On-time,34,18,20
WEEKDAY,Male,On-time,32,27,35
WEEKDAY,Male,On-time,30,24,35
WEEKEND,Male,On-time,71,30,35
WEEKEND,Male,Delay,37,3,60
WEEKDAY,Male,Delay,34,9,35
WEEKDAY,Male,Delay,35,6,35
WEEKDAY,Male,Delay,25,15,35
WEEKDAY,Male,Delay,23,12,35
WEEKDAY,Female,Delay,27,21,35
WEEKEND,Female,Delay,29,18,48
WEEKEND,Female,Delay,31,27,48
WEEKDAY,Female,Delay,73,24,48
WEEKDAY,Female,Delay,68,3,20
WEEKDAY,Female,Delay,22,9,48
WEEKDAY,Female,Delay,20,6,20
WEEKDAY,Female,Delay,28,15,20
WEEKEND,Female,Delay,26,12,16
WEEKEND,Male,Delay,29,21,16
WEEKDAY,Male,Delay,30,18,16
WEEKDAY,Male,Delay,37,27,16
WEEKDAY,Male,Delay,29,24,16
WEEKDAY,Male,Delay,39,30,16
WEEKDAY,Female,Delay,44,3,16
WEEKEND,Female,On-time,46,9,30
WEEKEND,Female,On-time,28,6,30
WEEKDAY,Female,On-time,33,15,30
WEEKDAY,Female,On-time,78,12,30
WEEKDAY,Male,On-time,28,21,30
WEEKDAY,Male,On-time,53,18,18
WEEKDAY,Male,On-time,39,27,30
WEEKEND,Female,On-time,48,24,30
WEEKEND,Female,On-time,28,30,30
WEEKDAY,Female,On-time,37,3,10
WEEKDAY,Female,On-time,48,9,30
WEEKDAY,Female,On-time,38,6,35
WEEKDAY,Female,On-time,34,15,35
WEEKDAY,Female,On-time,26,12,35
WEEKEND,Female,On-time,25,21,35
WEEKEND,Female,On-time,32,18,35
WEEKDAY,Female,On-time,34,27,20
WEEKDAY,Female,On-time,26,24,35
WEEKDAY,Male,On-time,25,30,35
WEEKDAY,Male,On-time,32,9,60
WEEKDAY,Male,On-time,28,6,35
WEEKEND,Male,Delay,24,15,35
WEEKEND,Female,Delay,34,12,35
WEEKDAY,Female,Delay,32,21,35
WEEKDAY,Female,Delay,30,18,35
WEEKDAY,Female,Delay,71,27,48
WEEKDAY,Female,Delay,35,24,48
WEEKDAY,Female,Delay,44,30,48
WEEKEND,Female,On-time,55,3,48
WEEKEND,Female,On-time,38,9,20
WEEKDAY,Male,On-time,69,6,48
WEEKDAY,Male,On-time,37,15,20
WEEKDAY,Male,On-time,48,12,20
WEEKDAY,Male,On-time,26,21,16
WEEKDAY,Male,On-time,37,18,16
WEEKEND,Male,On-time,48,24,16
WEEKEND,Male,On-time,38,30,16
WEEKDAY,Male,On-time,34,3,16
WEEKDAY,Female,On-time,26,9,16
WEEKDAY,Female,On-time,25,6,30
WEEKDAY,Female,On-time,32,15,30
WEEKDAY,Male,On-time,26,12,30
WEEKEND,Male,On-time,25,21,30
WEEKEND,Male,On-time,32,18,30
WEEKDAY,Female,On-time,26,27,18
WEEKDAY,Female,On-time,29,24,30
WEEKDAY,Female,On-time,30,30,30
WEEKDAY,Female,On-time,37,3,30
WEEKDAY,Female,On-time,29,6,30
WEEKEND,Female,On-time,37,15,35
WEEKEND,Female,On-time,34,12,35
WEEKDAY,Female,On-time,35,21,35
WEEKDAY,Female,On-time,25,18,35
WEEKDAY,Female,On-time,23,27,35
WEEKDAY,Male,On-time,27,24,20
WEEKDAY,Male,On-time,29,30,35
WEEKEND,Male,On-time,48,3,35
WEEKEND,Male,On-time,26,9,35
WEEKDAY,Male,On-time,73,6,60
WEEKDAY,Male,On-time,48,15,35
WEEKDAY,Male,On-time,25,12,35
WEEKDAY,Female,On-time,27,21,35
WEEKDAY,Female,On-time,28,18,35
WEEKEND,Female,On-time,24,27,35
WEEKEND,Female,On-time,34,24,48
WEEKDAY,Female,On-time,32,30,48
WEEKDAY,Female,On-time,30,3,48
WEEKDAY,Female,On-time,71,9,48
WEEKDAY,Male,On-time,37,6,20
WEEKDAY,Male,On-time,34,15,48
WEEKEND,Male,On-time,35,12,20
WEEKEND,Male,On-time,25,21,20
WEEKDAY,Female,On-time,23,18,16
WEEKDAY,Female,On-time,27,27,16
WEEKDAY,Female,On-time,29,24,16
WEEKDAY,Female,On-time,48,30,16
WEEKDAY,Female,On-time,28,3,16
WEEKEND,Female,On-time,37,9,16
WEEKEND,Male,On-time,48,15,30
WEEKDAY,Female,On-time,38,12,30
WEEKDAY,Female,On-time,34,21,30
WEEKDAY,Female,On-time,26,18,30
WEEKDAY,Female,On-time,25,27,30
WEEKDAY,Female,On-time,32,24,18
WEEKEND,Female,On-time,20,30,30
WEEKEND,Female,On-time,28,3,30
WEEKDAY,Female,On-time,26,9,30
WEEKDAY,Female,On-time,29,6,10
WEEKDAY,Female,On-time,30,15,30
WEEKDAY,Female,On-time,37,12,35
WEEKDAY,Male,On-time,29,21,35
WEEKEND,Male,On-time,37,18,35
WEEKEND,Male,On-time,73,27,35
WEEKDAY,Male,On-time,48,24,35
WEEKDAY,Male,On-time,25,30,20
WEEKDAY,Male,On-time,27,3,35
WEEKDAY,Female,On-time,28,9,35
WEEKDAY,Female,On-time,24,6,35
WEEKEND,Female,On-time,34,15,60
WEEKEND,Female,On-time,32,12,35
WEEKDAY,Female,On-time,30,21,35
WEEKDAY,Female,On-time,71,18,35
WEEKDAY,Female,On-time,28,27,35
WEEKDAY,Male,On-time,33,24,35
WEEKDAY,Male,On-time,33,30,48
WEEKEND,Male,On-time,34,3,48
WEEKEND,Male,On-time,35,9,48
WEEKDAY,Male,On-time,25,6,48
WEEKDAY,Male,On-time,23,15,20
WEEKDAY,Female,On-time,27,12,48
WEEKDAY,Female,On-time,29,21,20
WEEKDAY,Female,On-time,48,18,20
WEEKEND,Female,On-time,26,27,16
WEEKEND,Female,On-time,39,24,16
WEEKDAY,Male,On-time,48,30,16
WEEKDAY,Male,On-time,28,3,16
WEEKDAY,Male,On-time,37,9,16
WEEKDAY,Male,On-time,48,6,16
WEEKDAY,Male,On-time,38,15,16
WEEKEND,Male,On-time,34,12,30
WEEKEND,Male,On-time,26,21,30
WEEKDAY,Male,On-time,25,18,30
WEEKDAY,Male,On-time,32,27,30
WEEKDAY,Male,On-time,30,24,30
WEEKDAY,Male,On-time,37,30,18
WEEKDAY,Male,On-time,29,3,30
WEEKEND,Female,On-time,27,9,30
WEEKEND,Female,On-time,28,6,30
WEEKDAY,Female,On-time,24,15,10
WEEKDAY,Female,On-time,34,12,30
WEEKDAY,Female,On-time,32,21,35
WEEKDAY,Female,On-time,30,18,35
WEEKDAY,Female,On-time,71,27,35
WEEKEND,Female,On-time,53,24,35
WEEKEND,Female,On-time,37,30,35
WEEKDAY,Female,On-time,34,3,20
WEEKDAY,Female,On-time,35,9,35
WEEKDAY,Male,On-time,25,6,35
WEEKDAY,Male,On-time,23,15,35
WEEKDAY,Male,On-time,27,12,60
WEEKEND,Male,On-time,29,21,35
WEEKEND,Male,On-time,28,18,35
WEEKDAY,Male,On-time,37,27,35
WEEKDAY,Female,On-time,48,24,35
WEEKDAY,Female,Cancelled,38,30,35
WEEKDAY,Female,Cancelled,34,3,48
WEEKDAY,Female,Cancelled,26,9,48
WEEKEND,Female,Cancelled,25,6,48
WEEKEND,Female,Cancelled,32,15,48
WEEKDAY,Female,Cancelled,29,12,20
WEEKDAY,Female,Cancelled,30,21,48
WEEKDAY,Female,Cancelled,37,18,20
WEEKDAY,Female,Cancelled,29,27,20
WEEKDAY,Male,Cancelled,62,24,16
WEEKEND,Male,Cancelled,37,30,16
WEEKEND,Male,Cancelled,34,3,16
WEEKDAY,Male,Cancelled,35,9,16
WEEKDAY,Male,Cancelled,25,6,16
WEEKDAY,Male,Cancelled,23,15,16
WEEKDAY,Male,Cancelled,27,12,16
WEEKDAY,Male,Cancelled,29,21,30
WEEKEND,Male,Cancelled,48,18,30
WEEKEND,Female,Cancelled,28,27,30
WEEKDAY,Female,Cancelled,37,24,30
WEEKDAY,Female,Cancelled,48,30,30
WEEKDAY,Female,Cancelled,38,3,18
WEEKDAY,Female,Cancelled,34,9,30
WEEKDAY,Female,Cancelled,26,6,30
WEEKEND,Female,Cancelled,25,15,30
WEEKEND,Female,Cancelled,32,12,10
WEEKDAY,Female,Cancelled,62,21,30
WEEKDAY,Male,Cancelled,37,18,35
WEEKDAY,Male,Cancelled,73,27,35
WEEKDAY,Male,Cancelled,48,24,35
WEEKDAY,Male,Cancelled,25,30,35
WEEKEND,Male,Cancelled,27,3,35
WEEKEND,Male,Cancelled,28,9,20
WEEKDAY,Male,Cancelled,24,6,35
WEEKDAY,Male,Cancelled,34,15,35
WEEKDAY,Male,Cancelled,32,12,35
WEEKDAY,Female,Cancelled,30,21,60
WEEKDAY,Female,Cancelled,71,18,35
WEEKEND,Female,Cancelled,29,27,35
WEEKEND,Female,Cancelled,46,24,35
WEEKDAY,Female,Cancelled,43,30,35
WEEKDAY,Female,Cancelled,80,3,35
WEEKDAY,Female,Cancelled,31,9,48
WEEKDAY,Female,Cancelled,73,6,48
WEEKDAY,Female,Cancelled,68,15,48
WEEKEND,Female,Cancelled,22,12,48
WEEKEND,Female,Cancelled,20,21,20
WEEKDAY,Male,Cancelled,28,18,48
WEEKDAY,Male,Cancelled,26,27,20
WEEKDAY,Male,Cancelled,29,24,20
WEEKDAY,Male,Cancelled,30,30,16
WEEKDAY,Male,Cancelled,37,3,16
WEEKEND,Female,Cancelled,29,9,16
WEEKEND,Female,Cancelled,35,6,16
WEEKDAY,Female,Cancelled,44,15,16
WEEKDAY,Female,Cancelled,55,12,16
WEEKDAY,Female,Cancelled,38,18,30
WEEKDAY,Female,Cancelled,69,27,30
WEEKDAY,Female,Cancelled,37,24,30
WEEKEND,Male,Cancelled,48,30,30
WEEKEND,Male,Cancelled,26,3,30
WEEKDAY,Male,Cancelled,46,9,18
WEEKDAY,Male,Cancelled,43,6,30
WEEKDAY,Male,Cancelled,80,15,30
WEEKDAY,Male,Cancelled,31,12,30
WEEKDAY,Male,Cancelled,73,21,10
WEEKEND,Male,Cancelled,68,18,30
WEEKEND,Female,Cancelled,22,27,35
WEEKDAY,Female,Cancelled,20,24,35
WEEKDAY,Female,Cancelled,28,30,35
WEEKDAY,Female,Cancelled,26,3,35
WEEKDAY,Female,Cancelled,29,9,35
WEEKDAY,Female,Cancelled,30,6,20
WEEKEND,Female,Cancelled,37,15,35
WEEKEND,Female,Cancelled,29,12,35
WEEKDAY,Female,Cancelled,55,21,35
WEEKDAY,Female,Cancelled,42,18,60
WEEKDAY,Male,Cancelled,62,27,35
WEEKDAY,Male,Cancelled,37,24,35
WEEKDAY,Male,Cancelled,73,30,35
WEEKEND,Male,Cancelled,48,3,35
WEEKEND,Female,Cancelled,25,9,35
WEEKDAY,Female,Cancelled,27,6,48
WEEKDAY,Female,Cancelled,28,15,48
WEEKDAY,Female,Cancelled,24,12,48
WEEKDAY,Female,Cancelled,34,21,48
WEEKDAY,Male,Cancelled,32,18,20
WEEKEND,Male,Cancelled,30,27,48
WEEKEND,Male,Cancelled,71,24,20
WEEKDAY,Male,Cancelled,36,30,20
WEEKDAY,Male,Cancelled,23,3,16
WEEKDAY,Male,Cancelled,29,9,16
WEEKDAY,Female,Cancelled,33,6,16
WEEKDAY,Female,Cancelled,39,15,16
WEEKEND,Female,Cancelled,44,12,16
WEEKEND,Female,Cancelled,46,21,16
WEEKDAY,Female,Cancelled,28,18,16
WEEKDAY,Female,Cancelled,33,27,30
WEEKDAY,Female,Cancelled,78,24,30
WEEKDAY,Female,Cancelled,28,30,30
WEEKDAY,Male,Cancelled,53,3,30
WEEKEND,Male,Cancelled,39,9,30
WEEKEND,Male,Cancelled,48,6,18
WEEKDAY,Male,Cancelled,28,15,30
WEEKDAY,Female,On-time,37,12,30
WEEKDAY,Female,On-time,48,21,30
WEEKDAY,Female,On-time,38,18,10
WEEKDAY,Female,On-time,34,27,30
WEEKEND,Female,On-time,26,24,35
WEEKEND,Female,On-time,25,30,35
WEEKDAY,Female,On-time,32,3,35
WEEKDAY,Female,On-time,73,9,35
WEEKDAY,Female,On-time,68,6,35
WEEKDAY,Female,On-time,22,15,20
WEEKDAY,Female,On-time,20,12,35
WEEKEND,Female,On-time,28,25,20
WEEKEND,Female,On-time,26,28,52
WEEKDAY,Female,On-time,29,35,10
WEEKDAY,Female,On-time,30,65,15
WEEKDAY,Female,On-time,37,75,16
WEEKDAY,Female,On-time,29,80,30
WEEKDAY,Female,On-time,25,82,45
WEEKEND,Female,On-time,27,40,32
WEEKEND,Female,On-time,28,45,24
WEEKDAY,Female,On-time,24,25,23
WEEKDAY,Female,On-time,34,16,22
WEEKDAY,Female,On-time,32,21,14
WEEKDAY,Female,On-time,30,26,5
WEEKDAY,Female,On-time,71,27,32
WEEKEND,Female,On-time,32,57,45
WEEKEND,Female,On-time,53,27,20
WEEKDAY,Female,On-time,62,28,20
WEEKDAY,Female,On-time,36,24,35
WEEKDAY,Female,On-time,23,27,41
WEEKDAY,Female,On-time,29,37,10
WEEKDAY,Female,On-time,33,47,20
WEEKEND,Female,On-time,39,27,65
